City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,San Carlos De Bariloche,AR,-41.1456,-71.3082,51.55,76,100,19.57,moderate rain
307,Bathsheba,BB,13.2167,-59.5167,77.61,73,20,14.97,few clouds
308,Makakilo City,US,21.3469,-158.0858,79.61,60,20,12.66,few clouds
309,Acapulco,MX,16.8634,-99.8901,82.22,74,0,4.61,clear sky
310,La Ronge,CA,55.1001,-105.2842,-18.15,69,0,3.44,clear sky
311,Lompoc,US,34.6391,-120.4579,56.37,85,100,9.22,overcast clouds
312,Vologda,RU,59.2187,39.8886,21.63,95,95,7.29,overcast clouds
313,Lorengau,PG,-2.0226,147.2712,82.85,76,96,2.64,moderate rain
314,Almeirim,BR,-1.5233,-52.5817,76.73,83,100,3.33,overcast clouds
315,Cabo San Lucas,MX,22.8909,-109.9124,71.51,72,20,4.61,few clouds
316,Kalangala,UG,-0.3089,32.225,72.21,70,100,8.99,overcast clouds
317,Rocha,UY,-34.4833,-54.3333,68.79,95,84,11.63,broken clouds
318,Dubuque,US,42.4833,-90.8668,41.92,79,0,11.5,clear sky
319,Trenggalek,ID,-8.05,111.7167,82.65,73,100,3.78,light rain
320,Nagykanizsa,HU,46.4535,16.991,41.11,94,80,11.43,broken clouds
321,Waitati,NZ,-45.75,170.5667,62.8,73,13,12.26,few clouds
322,Bideford,GB,51.0179,-4.2046,44.96,80,53,32.64,broken clouds
323,Yangambi,CD,0.8102,24.4336,67.32,98,100,0.43,overcast clouds
324,Marienburg,PL,54.0359,19.0266,46.85,89,100,21.41,light rain
325,Urusha,RU,54.05,122.9,2.12,60,100,5.59,overcast clouds
326,Melfi,IT,40.9965,15.6514,49.41,94,11,6.89,few clouds
327,Artyom,AZ,40.4723,50.333,39.34,83,21,5.66,few clouds
328,Canada,ES,38.6767,-0.8141,46.29,78,100,6.08,overcast clouds
329,Redmond,US,47.674,-122.1215,44.53,86,100,1.99,overcast clouds
330,Sabang,ID,5.8933,95.3214,82.67,69,40,6.93,scattered clouds
331,Erenhot,CN,43.6475,111.9767,5.09,82,26,9.42,scattered clouds
332,Liwale,TZ,-9.7667,37.9333,71.29,90,100,2.89,overcast clouds
333,Cottbus,DE,51.7667,14.3333,51.53,76,100,10.0,overcast clouds
334,Esperantina,BR,-3.9017,-42.2336,72.77,95,80,2.77,moderate rain
335,Ambon,ID,-3.6954,128.1814,80.74,83,40,5.75,light rain
336,Maniitsoq,GL,65.4167,-52.9,-5.26,93,98,8.68,overcast clouds
337,Najran,SA,17.4924,44.1277,61.45,46,46,5.57,scattered clouds
338,Sembe,CG,1.6481,14.5806,72.14,86,100,0.45,light rain
339,Dunedin,NZ,-45.8742,170.5036,62.8,73,8,21.0,clear sky
340,Oriximina,BR,-1.7656,-55.8661,74.98,92,98,2.26,overcast clouds
341,Mount Isa,AU,-20.7333,139.5,94.77,16,0,8.05,clear sky
342,Ossora,RU,59.2353,163.0719,-7.74,75,99,3.09,overcast clouds
343,Road Town,VG,18.4167,-64.6167,77.09,78,20,9.22,few clouds
344,Itoman,JP,26.1247,127.6694,59.38,66,75,12.66,broken clouds
